sample_id,text,annotator_layer1,annotator_layer2,annotator_speaker_role,annotator_confidence,annotator_notes
G312,"coba diagnosa tu hp, soalnya temen pernah kena gitu, dia ngga ngaku kalo kena apk biadab, dia koar koar uang 5 jt hilang, karena kesulitan mencari masalahnya saya suruh flash hpnya dan instal ulang apk bcanya, akhirnya aman. setelah berapa minggu dia ngaku kalo pernah dapat whatsapp apk e-tilang dan ke install.",,,,,
G313,Mana pemerintah katax akan blokir smua situs judol. Tpi kok masih byak.,,,,,
G314,Hanya orang bodoh yang percaya judi bikin kaya..yg kaya itu bandar namanya judi mau jenis judi apapun,,,,,
G315,"Deepfake makin canggih.
Besok-besok ada penipuan &amp; pelecehan pakai muka kita

&gt; Setelah 22 &gt; Indomaret &gt; Arsenal  &gt; After 22 &gt; Arteta &gt; UFO &gt; copot gubernur bi &gt; The Gunners &gt; copot gubernur bi &gt; Pagii &gt; Sarapan",,,,,
G316,soceng meresahkan terimakasih bank bri,,,,,
G317,Dari brimo juga bisa kok isi pulsa,,,,,
G318,Berbagai modus penipuan baru di industri keuangan terus muncul mengelabui para korban. Terbaru marak penipuan QRIS palsu dalam metode pembayaran. https://t.co/7fjunGLV8e,,,,,
G319,Mantappp banggg sukses selalu,,,,,
G320,"kaget banget tiba-tiba di spam di grup, karna salah akun anj😭😭 https://t.co/Rem8IVlzZN",,,,,
G321,Tarima kasih edukasi nya pasti banyak yg sadari,,,,,
G322,"Ada berita ibu"" Di malang kebobolan 1,4 m dari apk undangan nikah. 

Endingnya cari info ke mr bert taunya uda 5 bulan yg lalu dibahas.",,,,,
G323,"@republiketawarga62  kocak emang di tunjukin juga potkes ini ke orang2 yang udah kecanduan judol, juga kagak bakal paham.",,,,,
G324,Mantap mas marcel biar penjudi slot bisa tobat wkwk,,,,,
G325,Dari game maupun tiktok dan Snack video.. benar benar di luar dugaan orang yang berhati iblis menipu banyak korban.. itulah bangsa kita.. pintar tapi berbahaya.. nangudzubillahimndzalik... Semoga cepat kembali ke jalan yang benar..amin... wassalam,,,,,
G326,@tanyarlfes yang tau jasa hack wa? urgent bgt plis,,,,,
G327,"masalahnya adalah agak susah jelasin teknis seperti itu ke pengguna yang agak awam apalagi berumur, jadi biar lebih gampang, kalo ada begituan bilang ane pasti bilang bahaya itu virus (mo bilang malware ntar perlu penjelasan lagi wkwk), terus di delete dan di blok, jauh lebih simpel",,,,,
G328,"Hati hati bang, lu bisa di pidanakan loh sama pencuri itu. Walaupun penipu itu salah, Lu juga salah melakukan hacking, pencurian data pribadi, penyebaran data pribadi. Gw bukan ngebela si pencuri tapi tindakan lu juga salah walaupun niat lu baik. Sebaiknya di laporkan saja ke polisi, biarkan mereka yang mengurus hal tersebut.",,,,,
G329,"@aintyournymph @tanyarlfes Modusnya: Pelaku beli data bocor (KTP+selfie), apply pinjol atas nama lo. Uang cair ke rekening lo, lalu mereka bilang ""salah transfer"" minta balik. Jangan pernah dikembalikan. Utang tetap atas nama lo.
Data selfie biasanya dari kebocoran pinjol lama atau lowongan kerja abal-abal",,,,,
G330,"Sy ucapkan selamat dan terima kasih sama abang ini krna udh memilih kembali ke jalan yg benar,jgn memilih harta haram yg melimpah tp pikirkan saat waktu kematian kita datang,,mksh bang marcell udh bongkar judol ini,,semoga banyak yg berhenti judol",,,,,
G331,Bg tolong brantas judi HIGS DOMINO,,,,,
G332,"Bang mau tanya, tp kalau misalkan kita sendiri yg install apk itu sendiri, apakah itu termasuk kena tipu atau, data kita masuk kesana atau justru aman aman sj, karena kita yg instal lngsung dr play store sendiri??🙏🙏",,,,,
G333,"Okeh bg trimakasih atas pengalaman nya tadinya aku kejebak aku download apk yg abang saran kan lngsng kedeteksi link orang gk kenal ,pokok nya sehat trs bg dilancarkan rejeki nya makasih inpo nya bg mantap",,,,,
G334,Harus viral ini titik cerah untuk membuka mata para pemain juddol yg terjerumus game on-line slot Semoga CPT berhenti Trimakasih BG Marsel Saya juga mantan pemain game judol Alhamdulillah skrng SDH berhenti,,,,,
G335,Mas bagai mana cara uang saya hilang di bank di trasfer ke orang lain nama dan no rekening ada tapi bank ngak bertangung jawab dengan cara brimo embaking tolong mas 🙏🙏🙏,,,,,
G336,"Kok aneh sih dia ga pernah download/daftar mobile banking tapi si penipu bisa pakai app mobile banking, pdhl klo mau pakai mobile banking kan harus otp dan daftar ini itu yg ribet, termasuk poto nasabahnya terlebih dahulu baru bisa punya mobile banking.( Klo Ini yg terjadi, banknya kok agak gmn ya securitynya)

Kecuali klo nasabahnya udah pernah daftar mobile banking/inet banking kemungkinan bisa kena karena apk tsb bisa aja clone data semuanya di hp tsb bahkan termasuk kloning no. sim card (klo ini ada kemungkinan ada oknum org dalam kartu sim tsb). Baru bisa di sedot lewat otp klo si nasabah memberikan akses apk tsb pas awal2 buka apknya.

Harus di selidiki lebih dalam kronologinya dan di trace itu rekening2 penerimanya oleh pihak bank dan pihak2 terkait kemana aja aliran dana dari nasabah korban apk tsb dan polisi harus cyduk ke alamat2 yg terdaftar di rekening2 yg di curigai nerima aliran dananya.
 Soalnya klo ga kayak gini bakalan di pertanyakan itu kredibilitas serta sistem keamanan bank tsb.",,,,,
G337,"Kemenkum DIY Wanti-Wanti Penipuan AI, Deepfake dan Voice Cloning https://t.co/D0K8Ie5dNp https://t.co/N89NF8YJdE",,,,,
G338,"Entah kenapa setelah kebocoran data kemarin, Claude kayak stuck.",,,,,
G339,Para Korban Deepfake Vulgar Mahasiswa Untan: Teman hingga Pacar Sendiri https://t.co/Ot6NXcssAY,,,,,
G340,"Segera uninstall apk nya kak, supaya hacker tidak bisa mengakses SMS hp kk",,,,,
G341,Pertanyaannya dari mana penipu itu tau data kita seperti nama dan no telp. Bukannya menuduh tapi biasanya dari pegawai bank juga yg bekerja sama dengan penipu yg membocorkan data nasabah.,,,,,
G342,"Gara"" link akun game gratis 3 akunku di bajak semua tidak bisa di pulihkan bantulah saya yang bisa",,,,,
G343,"Waspada QRIS Palsu, BRI Imbau Masyarakat Jaga Keamanan Transaksi Lewat BRImerchant
https://t.co/OF4KCnakKX",,,,,
G344,Kalau tau lokasinya tinggal di laporkan saja ke polisi. soalnya saya juga pernah jadi korban si p3nipu atas nama bank besar di Indonesia,,,,,
G345,bingung apa orng yg percaya ama judol😂,,,,,
G346,"Kalian enak hanya korban judi slot,belum tau batapa mengerikan judi casino.saya dulu 234jt dalam semalam kalah di casino",,,,,
G347,Bikin laporan bos,,,,,
G348,jasa hack akun twt tuh berapa sib annay kira kira,,,,,
G349,"@kompascom lah kocak, qris palsu cenah.
Ini QRIS asli, cuman bukan punya mesjidnya. yg paling betul cuman no 5, cocokan nama dengan penerima. lebih baik uang cash!",,,,,
G350,Ini admin juga penipu demi konten lihat aja muka admin nya tampang muka licik ganteng sih lumayan tapi di balik ganteng nya menyimpan kelicikan,,,,,
G351,Semoga tranding ini biar yang masih main judol pada sadar,,,,,
G352,"ᅠᅠ

ᅠ
AL.
MAaf, belum baca thread lengkap dan seluk-beluk masalah yang menimpa kamu, tapi sepertinya ini udah masuk ke ancaman doxxing, ranah kriminal. Tolong jangan mengancam demikian kepada siapa pun yang tidak melakukan hal kriminal. 
ᅠ

ᅠᅠ",,,,,
G353,Iklan mu judol mas merahhhh,,,,,
G354,Polisi tangkap terduga pelaku penyebar QRIS palsu di kotak amal masjid. https://t.co/uUdhd3EV6l,,,,,
G355,"ai penipu buat akun baru alasannya akun lama kena sb, hati-hati ya gaisss #penipuonline https://t.co/BwZHRPXn1q",,,,,
G356,"Untuk mas marsel pesulap merah, Tolong mas, banyakin video kya gini, krena masih banyak yang blum sadar",,,,,
G357,"W lg d tahap depresi gara2 slot anj** krna yg gw cari bukan uangnya mungkin,krn setiap menang pun gk prnh gw nikmatin trus aj gw maenin lg ampe abis🥱🤪dn itu berulang trus sampe mental w skrng lg kena😭",,,,,
